state,state_abb,fips,year,year_frac,law_class,law_class_subtype,handguns_or_long_guns,age_for_minimum_age_laws,length_of_waiting_period_days_handguns,additional_context_and_notes,discrepancies,law_id
California,CA,06,2024,1,registration,required,handgun,NA,NA,"Originally passed as Cal. Penal Code §§ 12076(b), 12077. While California has required dealers to register handguns since 1917, private sales were not included in this process until the background check point of sale requirement was put in place in 1991. See also Cal Penal Code § 11106, which requires that the State Attorney General maintain records of all firearm sales.",NA,CA1031
California,CA,06,2024,1,registration,required,long gun,NA,NA,"See also Cal Penal Code § 11106, which requires that the State Attorney General maintain records of all firearm sales.",NA,CA1032
California,CA,06,2024,1,background checks,extra time,handgun,NA,NA,Gives U.S. Department of Justice up to 30 days to complete a background check before delivery of firearm.,NA,CA1034
California,CA,06,2024,0,waiting period,general,handgun,NA,5,NA,NA,CA1035
California,CA,06,2024,0,waiting period,general,handgun,NA,15,NA,NA,CA1036
California,CA,06,2024,1,waiting period,general,long gun,NA,10,Adds long guns. Originally enacted as Cal. Pen. Code § 12072(c )(1) (1998).,NA,CA1037
California,CA,06,2024,1,background checks,private sales : point of sale,handgun,NA,NA,NA,NA,CA1040
California,CA,06,2024,1,dealer license,state license requirement,handgun,NA,NA,NA,NA,CA1043
California,CA,06,2024,1,firearm sales restrictions,assault weapons ban,handgun,NA,NA,"List of banned weapons in Cal. Penal Code § 30510, and banned features in Cal. Penal Code § 30515.",NA,CA1044
California,CA,06,2024,0,open carry,limited : prohibited : loaded,handgun,NA,NA,NA,NA,CA1045
California,CA,06,2024,1,waiting period,general,handgun,NA,10,Adds long guns. Originally enacted as Cal. Pen. Code § 12072(c )(1) (1998).,NA,CA1047
California,CA,06,2024,0,minimum age,purchase and sale,long gun,18,NA,"Before 2012, reference was Cal. Penal Code §12072(a)(3)(A).","Disagreement with Vernick and Hepburn (2003) about year of enactment, age limit.",CA1048
California,CA,06,2024,1,minimum age,purchase and sale,long gun,21,NA,NA,NA,CA1049
California,CA,06,2024,1,prohibited possessor,mental health : committed to mh facility : voluntary,handgun and long gun,NA,NA,"Prohibition only lasts for period of inpatient care.  1969 version of the law referred to admitted ""patients.""",NA,CA1052
California,CA,06,2024,0,prohibited possessor,mental health : adjudicated as mentally incompetent//incapacitated/disabled,handgun and long gun,NA,NA,"May not purchase or possess ""unless there has been issued to the person a certificate by the court of adjudication upon release from treatment or at a later date stating that the person may possess a firearm or any other deadly weapon without endangering others, and the person has not, subsequent to the issuance of the certificate, again been adjudicated by a court to be a danger to others as a result of a mental disorder or mental illness.""",NA,CA1053
